Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Container	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes
1	D4-BR-O-1	Brooksia rostrata	Oozoid	30	1	Plastic	Intact	Low		09/18	1	0	P1	6.21	NA	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.
2	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/18	1	0	P2	6.23	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
3	D4-BR-O-2	Brooksia rostrata	Oozoid	35	1	Glass	Intact	High		09/18	1	0	G1	6.31	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.
4	NA	NA	NA	NA	NA	Glass	Intact	NA		09/18	1	0	G2	6.3	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
5	D4-BR-O-1	Brooksia rostrata	Oozoid	30	1	Plastic	Intact	Low		09/18	1	15	P1	6.18	NA	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.
6	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/18	1	15	P2	6.23	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
7	D4-BR-O-2	Brooksia rostrata	Oozoid	35	1	Glass	Intact	High		09/18	1	15	G1	6.21	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.
8	NA	NA	NA	NA	NA	Glass	Intact	NA		09/18	1	15	G2	6.24	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
9	D4-BR-O-1	Brooksia rostrata	Oozoid	30	1	Plastic	Intact	Low		09/18	1	30	P1	6.15	NA	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.
10	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/18	1	30	P2	6.21	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
11	D4-BR-O-2	Brooksia rostrata	Oozoid	35	1	Glass	Intact	High		09/18	1	30	G1	6.16	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.
12	NA	NA	NA	NA	NA	Glass	Intact	NA		09/18	1	30	G2	6.18	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
13	D4-BR-O-1	Brooksia rostrata	Oozoid	30	1	Plastic	Intact	Low		09/18	1	45	P1	6.07	NA	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.
14	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/18	1	45	P2	6.14	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
15	D4-BR-O-2	Brooksia rostrata	Oozoid	35	1	Glass	Intact	High		09/18	1	45	G1	6.08	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.
16	NA	NA	NA	NA	NA	Glass	Intact	NA		09/18	1	45	G2	6.14	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
17	D4-BR-O-1	Brooksia rostrata	Oozoid	30	1	Plastic	Intact	Low		09/18	1	60	P1	6.05	NA	1cm stolon (DCI jar)	No temperature measured. Jars filled and closed in a bucket on land.
18	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/18	1	60	P2	6.13	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
19	D4-BR-O-2	Brooksia rostrata	Oozoid	35	1	Glass	Intact	High		09/18	1	60	G1	6.06	NA	7mm stolon (B jar)	No temperature measured. Jars filled and closed in a bucket on land.
20	NA	NA	NA	NA	NA	Glass	Intact	NA		09/18	1	60	G2	6.1	NA	Seawater	No temperature measured. Jars filled and closed in a bucket on land.
21	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	Intact	Low		09/19	2	0	P1	5.89	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
22	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	MgCl2	Very low		09/19	2	0	P2	6	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
23	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	Intact			09/19	2	15	P1	5.91	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
24	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	MgCl2			09/19	2	15	P2	6	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
25	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	Intact			09/19	2	30	P1	5.92	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
26	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	MgCl2			09/19	2	30	P2	6.01	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
27	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	Intact			09/19	2	45	P1	5.92	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
28	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	MgCl2			09/19	2	45	P2	5.98	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
29	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	Intact			09/19	2	60	P1	5.88	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
30	D4-CP-B-1	Cyclosalpa polae	Blastozooid	20	1	Plastic	MgCl2			09/19	2	60	P2	5.89	NA	Different blatozooids from same colony	No temperature measured. Jars filled and closed in a bucket on land.
31	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	2	0	P1	5.63	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
32	NA	NA	NA	NA	NA	Plastic	MgCl2	NA		09/19	2	0	P2	5.7	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
33	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	2	15	P1	5.79	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
34	NA	NA	NA	NA	NA	Plastic	MgCl2	NA		09/19	2	15	P2	5.8	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
35	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	2	30	P1	5.79	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
36	NA	NA	NA	NA	NA	Plastic	MgCl2	NA		09/19	2	30	P2	5.78	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
37	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	2	45	P1	5.8	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
38	NA	NA	NA	NA	NA	Plastic	MgCl2	NA		09/19	2	45	P2	5.73	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
39	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	2	60	P1	5.8	NA	Seawater control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
40	NA	NA	NA	NA	NA	Plastic	MgCl2	NA		09/19	2	60	P2	5.73	NA	Seawater + MgCl2 control for the measurements 21-30	No temperature measured. Jars filled and closed in a bucket on land.
41	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	0	P1	6.35	NA	Sapphirina included	No temperature measured.
42	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	0	P2	6.42	NA	Control local seawater	No temperature measured.
43	D5-PC-B-1	Pegea confoederata	Blastozooid	25	5	Plastic	Intact	Moderate		09/19	3	15	P1	6.34	NA	Sapphirina included	No temperature measured.
44	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/19	3	15	P2	6.48	NA	Control local seawater	No temperature measured.
